Challenge,Category,Points,Time Solved,Writeup
patches,bin,200,"April 9th, 10:08:18 PM",
misdirection,bin,250,"April 9th, 11:05:13 AM",
context-clues,bin,350,Unsolved,
going-over,bin,350,"April 9th, 12:05:13 PM",
block-game,bin,400,"April 9th, 11:37:22 PM",
win-bin-analysis,bin,500,Unsolved,
kangaroo,bin,600,Unsolved,
symbolism,bin,600,Unsolved,
salad,crypto,50,"April 9th, 8:51:46 AM",
new-algorithm,crypto,75,"April 9th, 8:52:14 AM",
xoracle,crypto,150,"April 9th, 9:41:10 AM",
secret-message,crypto,200,"April 9th, 9:06:08 AM",
would-you-wordle,crypto,250,"April 9th, 9:49:42 AM",
hidden-in-plain-sight,crypto,350,"April 9th, 9:36:28 AM",
file-zip-cracker,crypto,450,"April 9th, 9:12:46 AM",
audio-transmission,crypto,600,"April 9th, 3:46:46 PM",
inDEStructible,crypto,600,"April 10th, 8:08:07 AM",
speedy-at-midi,forensics,150,"April 9th, 10:09:12 AM",
stolen-data,forensics,150,"April 9th, 4:21:33 PM",
data-backup,forensics,250,"April 9th, 1:41:14 PM",
recent-memory,forensics,250,"April 9th, 2:12:46 PM",
scavenger-hunt,forensics,350,"April 9th, 12:51:50 PM",
corrupted-file,forensics,400,"April 9th, 12:41:57 PM",
infected,forensics,400,"April 9th, 4:11:06 PM",
firewall-rules,misc,100,"April 10th, 12:44:26 AM",
snort-log,misc,100,"April 9th, 9:03:58 PM",
filtered-feeders,misc,150,"April 9th, 10:28:15 AM",
we-will,misc,150,"April 9th, 10:22:47 AM",
bank-clients,misc,250,"April 9th, 11:39:43 AM",
check-the-shadows,misc,300,"April 9th, 3:25:37 PM",
dnsmasq-ip-extract,misc,300,"April 9th, 1:16:00 PM",
root-me,misc,400,"April 9th, 2:39:18 PM",
dns-joke,osint,100,"April 9th, 9:11:09 AM",
mystery,osint,250,"April 9th, 4:39:50 PM",
photo-op-spot,osint,250,"April 9th, 10:23:06 AM",
rarity,osint,350,"April 9th, 7:20:37 PM",
contributor,osint,400,"April 9th, 3:35:59 PM",
sho-me-whats-wrong,osint,400,"April 9th, 11:15:48 PM",
brian,sponker,20,Unsolved ðŸ¤£,
crowdstrike,sponker,20,"April 10th, 5:43:34 AM",
debbi,sponker,20,"April 10th, 7:28:06 AM",
feedback,sponker,20,"April 10th, 7:38:23 AM",
frsecure,sponker,20,"April 9th, 3:02:02 PM",
google,sponker,20,"April 10th, 7:34:38 AM",
jon,sponker,20,"April 9th, 1:38:38 PM",
kevin,sponker,20,"April 9th, 12:57:13 PM",
max,sponker,20,"April 10th, 8:18:29 AM",
njccio,sponker,20,"April 9th, 10:54:45 AM",
palo alto networks,sponker,20,"April 9th, 5:13:21 PM",
pat/jermaine/joe,sponker,20,"April 9th, 11:43:38 AM",
pinky/eric,sponker,20,"April 9th, 2:59:51 PM",
apache-logs,web,100,"April 9th, 10:36:36 AM",
seigwards-secrets,web,100,"April 9th, 8:51:34 AM",
buster,web,250,"April 9th, 8:01:54 PM",
heres-my-password,web,250,"April 9th, 11:28:43 AM",
flag-vault,web,300,"April 9th, 2:51:30 PM",
road-not-taken,web,300,"April 9th, 3:00:42 PM",
cookie-factory,web,400,"April 9th, 9:25:17 AM",